date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:45	10711/10711	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:17%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/contact/Black-Block-Background-Contact-Our-Redford-Lawyers.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/contact/Black-Block-Background-Contact-Our-Redford-Lawyers.jpg	(from http://briefnarrative.pythonanywhere.com/contact.html)
22:22:13	988753/988753	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/jalaler%20golpo%20final.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/jalaler%20golpo%20final.png	(from http://briefnarrative.pythonanywhere.com/works.html)
22:23:47	570983/570983	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:21%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/Peaky%20Blinders%20minimalist%20poster%20by%20Kazi%20ovi.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/Peaky%20Blinders%20minimalist%20poster%20by%20Kazi%20ovi.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:24:15	148860/148860	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/Big%20Bang%201-100.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/Big%20Bang%201-100.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:24:18	906756/906756	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/pro.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/pro.jpg	(from http://briefnarrative.pythonanywhere.com/about.html)
22:24:25	55598/55598	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:21%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/sherlock_1-100.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/sherlock_1-100.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:25:53	501881/501881	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:22%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/sherlock_5.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/sherlock_5.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:25:57	5882/5882	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:25:54%20GMT	http://briefnarrative.pythonanywhere.com/Movies_2.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/Movies_2.html	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:26:22	646787/646787	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:21%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/daredevil.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/daredevil.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:26:58	362020/362020	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/final%20-100.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/final%20-100.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
